participant,condition,mean_rt_ms,mean_accuracy,n_trials
sub-001,congruent,459.76599999999996,0.96,50
sub-001,incongruent,569.516,0.78,50
sub-002,congruent,510.31199999999995,0.9,50
sub-002,incongruent,592.67,0.78,50
sub-003,congruent,515.15,0.98,50
sub-003,incongruent,606.016,0.92,50
sub-004,congruent,538.344,0.94,50
sub-004,incongruent,665.944,0.82,50
sub-005,congruent,559.862,0.94,50
sub-005,incongruent,671.0880000000001,0.88,50
sub-006,congruent,543.384,0.92,50
sub-006,incongruent,660.7560000000001,0.84,50
sub-007,congruent,549.68,0.98,50
sub-007,incongruent,679.868,0.92,50
sub-008,congruent,535.578,0.96,50
sub-008,incongruent,665.2439999999999,0.92,50
sub-009,congruent,485.216,0.98,50
sub-009,incongruent,620.734,0.86,50
sub-010,congruent,504.36199999999997,0.96,50
sub-010,incongruent,540.496,0.86,50
sub-011,congruent,456.718,0.96,50
sub-011,incongruent,543.284,0.76,50
sub-012,congruent,509.94800000000004,0.98,50
sub-012,incongruent,610.328,0.8,50
sub-013,congruent,563.018,0.94,50
sub-013,incongruent,667.444,0.74,50
sub-014,congruent,469.774,0.96,50
sub-014,incongruent,546.396,0.9,50
sub-015,congruent,509.098,0.92,50
sub-015,incongruent,595.438,0.98,50
sub-016,congruent,506.06800000000004,1.0,50
sub-016,incongruent,620.242,0.84,50
sub-017,congruent,503.162,1.0,50
sub-017,incongruent,609.01,0.92,50
sub-018,congruent,540.506,0.92,50
sub-018,incongruent,632.812,0.94,50
sub-019,congruent,516.404,0.98,50
sub-019,incongruent,615.7819999999999,0.96,50
sub-020,congruent,476.14,0.92,50
sub-020,incongruent,554.762,0.78,50
sub-021,congruent,486.86800000000005,0.98,50
sub-021,incongruent,563.502,0.88,50
sub-022,congruent,510.84,0.98,50
sub-022,incongruent,597.544,0.92,50
sub-023,congruent,471.788,0.98,50
sub-023,incongruent,582.502,0.84,50
sub-024,congruent,440.88,0.98,50
sub-024,incongruent,600.77,0.94,50
sub-025,congruent,486.474,0.94,50
sub-025,incongruent,571.536,0.92,50
sub-026,congruent,516.186,0.98,50
sub-026,incongruent,630.216,0.74,50
sub-027,congruent,499.06800000000004,0.92,50
sub-027,incongruent,607.548,0.86,50
sub-028,congruent,512.732,1.0,50
sub-028,incongruent,570.168,0.88,50
sub-029,congruent,487.15,0.94,50
sub-029,incongruent,521.164,0.86,50
sub-030,congruent,570.496,0.94,50
sub-030,incongruent,638.0740000000001,0.88,50
