participant,congruent,incongruent,interference_effect,interference_ms
sub-001,459.76599999999996,569.516,109.75,109.75
sub-002,510.31199999999995,592.67,82.358,82.358
sub-003,515.15,606.016,90.86599999999999,90.86599999999999
sub-004,538.344,665.944,127.59999999999991,127.59999999999991
sub-005,559.862,671.0880000000001,111.22600000000011,111.22600000000011
sub-006,543.384,660.7560000000001,117.37200000000007,117.37200000000007
sub-007,549.68,679.868,130.1880000000001,130.1880000000001
sub-008,535.578,665.2439999999999,129.66599999999994,129.66599999999994
sub-009,485.216,620.734,135.51800000000003,135.51800000000003
sub-010,504.36199999999997,540.496,36.134000000000015,36.134000000000015
sub-011,456.718,543.284,86.56599999999997,86.56599999999997
sub-012,509.94800000000004,610.328,100.37999999999994,100.37999999999994
sub-013,563.018,667.444,104.42599999999993,104.42599999999993
sub-014,469.774,546.396,76.62199999999996,76.62199999999996
sub-015,509.098,595.438,86.33999999999997,86.33999999999997
sub-016,506.06800000000004,620.242,114.17399999999992,114.17399999999992
sub-017,503.162,609.01,105.84800000000001,105.84800000000001
sub-018,540.506,632.812,92.30600000000004,92.30600000000004
sub-019,516.404,615.7819999999999,99.37799999999993,99.37799999999993
sub-020,476.14,554.762,78.62199999999996,78.62199999999996
sub-021,486.86800000000005,563.502,76.6339999999999,76.6339999999999
sub-022,510.84,597.544,86.70400000000001,86.70400000000001
sub-023,471.788,582.502,110.71399999999994,110.71399999999994
sub-024,440.88,600.77,159.89,159.89
sub-025,486.474,571.536,85.06199999999995,85.06199999999995
sub-026,516.186,630.216,114.02999999999997,114.02999999999997
sub-027,499.06800000000004,607.548,108.47999999999996,108.47999999999996
sub-028,512.732,570.168,57.436000000000035,57.436000000000035
sub-029,487.15,521.164,34.01400000000001,34.01400000000001
sub-030,570.496,638.0740000000001,67.57800000000009,67.57800000000009
