participant,trial,condition,rt_ms,correct
sub_001,1,incongruent,628.9,1
sub_001,2,congruent,551.5,1
sub_001,3,incongruent,596.9,0
sub_001,4,congruent,423.5,1
sub_001,5,congruent,432.0,1
sub_001,6,congruent,444.8,1
sub_001,7,incongruent,508.1,1
sub_001,8,congruent,508.5,1
sub_001,9,incongruent,612.9,1
sub_001,10,incongruent,718.4,1
sub_001,11,congruent,509.5,1
sub_001,12,congruent,537.5,1
sub_001,13,congruent,481.4,1
sub_001,14,incongruent,698.0,1
sub_001,15,incongruent,616.5,1
sub_001,16,incongruent,569.2,1
sub_001,17,incongruent,683.0,0
sub_001,18,incongruent,632.2,1
sub_001,19,congruent,529.2,1
sub_001,20,incongruent,613.7,0
sub_001,21,incongruent,508.2,0
sub_001,22,congruent,528.8,1
sub_001,23,congruent,526.8,1
sub_001,24,incongruent,729.3,1
sub_001,25,congruent,494.1,1
sub_001,26,incongruent,571.3,1
sub_001,27,incongruent,709.6,1
sub_001,28,congruent,398.8,1
sub_001,29,incongruent,532.9,0
sub_001,30,incongruent,648.2,1
sub_001,31,congruent,440.2,1
sub_001,32,congruent,524.0,1
sub_001,33,incongruent,587.7,1
sub_001,34,congruent,477.3,1
sub_001,35,congruent,578.0,1
sub_001,36,congruent,478.6,1
sub_001,37,incongruent,648.3,1
sub_001,38,congruent,444.0,1
sub_001,39,congruent,487.7,1
sub_001,40,congruent,443.0,1
sub_001,41,incongruent,508.6,1
sub_001,42,congruent,550.4,1
sub_001,43,incongruent,574.9,1
sub_001,44,congruent,526.1,1
sub_001,45,incongruent,500.5,0
sub_001,46,congruent,464.4,1
sub_001,47,incongruent,563.7,1
sub_001,48,incongruent,575.4,1
sub_001,49,incongruent,675.2,1
sub_001,50,congruent,514.0,1
sub_001,51,incongruent,700.3,1
sub_001,52,incongruent,588.4,1
sub_001,53,congruent,485.6,1
sub_001,54,incongruent,583.2,1
sub_001,55,congruent,510.8,1
sub_001,56,incongruent,613.2,1
sub_001,57,congruent,581.6,1
sub_001,58,incongruent,606.8,0
sub_001,59,congruent,521.4,1
sub_001,60,incongruent,788.8,1
sub_001,61,incongruent,740.8,1
sub_001,62,congruent,461.6,1
sub_001,63,congruent,444.4,1
sub_001,64,incongruent,490.2,0
sub_001,65,incongruent,555.7,1
sub_001,66,congruent,538.1,0
sub_001,67,incongruent,690.4,1
sub_001,68,congruent,411.8,1
sub_001,69,incongruent,550.9,1
sub_001,70,congruent,518.8,1
sub_001,71,congruent,550.3,1
sub_001,72,incongruent,520.3,1
sub_001,73,incongruent,560.3,1
sub_001,74,congruent,524.9,1
sub_001,75,congruent,440.6,1
sub_001,76,incongruent,468.2,1
sub_001,77,incongruent,490.0,1
sub_001,78,incongruent,759.7,1
sub_001,79,incongruent,503.4,1
sub_001,80,incongruent,517.7,1
sub_001,81,congruent,491.6,1
sub_001,82,congruent,564.0,1
sub_001,83,incongruent,512.1,1
sub_001,84,congruent,490.5,1
sub_001,85,incongruent,625.6,0
sub_001,86,congruent,399.5,1
sub_001,87,congruent,470.8,1
sub_001,88,congruent,496.8,1
sub_001,89,congruent,606.1,1
sub_001,90,incongruent,632.6,1
sub_001,91,congruent,559.0,1
sub_001,92,congruent,470.0,1
sub_001,93,incongruent,496.9,1
sub_001,94,congruent,442.1,1
sub_001,95,congruent,456.5,1
sub_001,96,incongruent,617.4,1
sub_001,97,congruent,450.7,1
sub_001,98,incongruent,635.4,1
sub_001,99,incongruent,676.0,1
sub_001,100,congruent,555.9,1
