participant,trial,condition,rt_ms,correct
sub-001,1,congruent,522.4,1
sub-001,2,incongruent,651.8,1
sub-001,3,congruent,571.2,1
sub-001,4,incongruent,536.9,0
sub-001,5,incongruent,520.6,1
sub-001,6,incongruent,559.6,1
sub-001,7,incongruent,561.4,1
sub-001,8,incongruent,505.4,1
sub-001,9,congruent,420.1,1
sub-001,10,congruent,513.3,1
sub-001,11,incongruent,659.8,1
sub-001,12,congruent,445.7,1
sub-001,13,incongruent,511.0,0
sub-001,14,congruent,442.0,1
sub-001,15,congruent,395.8,1
sub-001,16,incongruent,535.3,0
sub-001,17,congruent,487.9,1
sub-001,18,incongruent,547.8,0
sub-001,19,incongruent,633.3,1
sub-001,20,congruent,470.2,1
sub-001,21,incongruent,584.4,1
sub-001,22,congruent,450.8,1
sub-001,23,congruent,546.0,1
sub-001,24,congruent,381.0,1
sub-001,25,congruent,440.7,1
sub-001,26,congruent,384.1,1
sub-001,27,incongruent,606.8,1
sub-001,28,incongruent,608.4,1
sub-001,29,incongruent,519.6,1
sub-001,30,incongruent,660.9,1
sub-001,31,congruent,441.1,1
sub-001,32,congruent,370.5,1
sub-001,33,congruent,442.2,0
sub-001,34,incongruent,576.5,1
sub-001,35,congruent,445.2,1
sub-001,36,incongruent,700.3,1
sub-001,37,incongruent,608.7,1
sub-001,38,congruent,573.0,1
sub-001,39,congruent,550.5,1
sub-001,40,congruent,350.9,1
sub-001,41,incongruent,528.5,1
sub-001,42,congruent,283.1,1
sub-001,43,congruent,418.4,1
sub-001,44,incongruent,625.6,0
sub-001,45,incongruent,498.3,1
sub-001,46,congruent,419.1,1
sub-001,47,congruent,481.6,1
sub-001,48,incongruent,604.3,0
sub-001,49,congruent,437.3,1
sub-001,50,congruent,443.8,1
sub-001,51,congruent,513.0,1
sub-001,52,congruent,476.9,1
sub-001,53,incongruent,534.5,1
sub-001,54,congruent,480.9,1
sub-001,55,congruent,465.4,1
sub-001,56,congruent,477.0,1
sub-001,57,congruent,590.5,1
sub-001,58,congruent,440.6,1
sub-001,59,incongruent,518.0,1
sub-001,60,incongruent,645.0,0
sub-001,61,incongruent,507.2,1
sub-001,62,incongruent,664.9,1
sub-001,63,incongruent,540.5,1
sub-001,64,congruent,465.2,1
sub-001,65,incongruent,600.8,1
sub-001,66,congruent,539.3,0
sub-001,67,incongruent,617.9,1
sub-001,68,incongruent,539.8,1
sub-001,69,incongruent,529.3,1
sub-001,70,incongruent,575.7,1
sub-001,71,incongruent,561.8,1
sub-001,72,congruent,418.7,1
sub-001,73,congruent,487.1,1
sub-001,74,incongruent,617.7,1
sub-001,75,incongruent,563.9,1
sub-001,76,incongruent,654.7,1
sub-001,77,congruent,487.1,1
sub-001,78,congruent,450.3,1
sub-001,79,incongruent,559.6,1
sub-001,80,congruent,424.0,1
sub-001,81,incongruent,486.0,1
sub-001,82,incongruent,584.1,1
sub-001,83,incongruent,497.6,0
sub-001,84,congruent,437.1,1
sub-001,85,incongruent,547.3,0
sub-001,86,congruent,485.5,1
sub-001,87,incongruent,583.1,1
sub-001,88,congruent,464.0,1
sub-001,89,incongruent,427.5,1
sub-001,90,incongruent,539.7,1
sub-001,91,congruent,410.0,1
sub-001,92,congruent,453.2,1
sub-001,93,congruent,524.9,1
sub-001,94,congruent,512.7,1
sub-001,95,incongruent,567.4,0
sub-001,96,congruent,493.3,1
sub-001,97,congruent,363.7,1
sub-001,98,incongruent,565.7,1
sub-001,99,incongruent,593.7,1
sub-001,100,incongruent,507.2,0
sub-002,1,incongruent,677.6,1
sub-002,2,congruent,467.8,1
sub-002,3,incongruent,595.9,1
sub-002,4,congruent,562.1,1
sub-002,5,incongruent,557.9,1
sub-002,6,incongruent,626.5,1
sub-002,7,incongruent,626.0,1
sub-002,8,congruent,582.1,0
sub-002,9,incongruent,694.9,1
sub-002,10,congruent,626.8,1
sub-002,11,incongruent,625.8,1
sub-002,12,congruent,531.2,1
sub-002,13,incongruent,569.1,1
sub-002,14,congruent,454.8,1
sub-002,15,incongruent,520.1,1
sub-002,16,incongruent,591.3,1
sub-002,17,congruent,514.8,1
sub-002,18,congruent,506.0,1
sub-002,19,congruent,541.9,1
sub-002,20,congruent,416.5,1
sub-002,21,congruent,617.3,1
sub-002,22,incongruent,626.0,1
sub-002,23,congruent,575.7,1
sub-002,24,congruent,527.1,1
sub-002,25,incongruent,549.1,1
sub-002,26,congruent,483.5,1
sub-002,27,congruent,290.3,1
sub-002,28,congruent,518.6,1
sub-002,29,congruent,500.2,1
sub-002,30,incongruent,684.9,1
sub-002,31,congruent,390.5,1
sub-002,32,incongruent,600.9,1
sub-002,33,incongruent,586.2,1
sub-002,34,congruent,422.5,1
sub-002,35,incongruent,510.6,1
sub-002,36,incongruent,529.6,1
sub-002,37,incongruent,670.0,0
sub-002,38,congruent,568.7,1
sub-002,39,congruent,411.1,1
sub-002,40,incongruent,595.2,0
sub-002,41,congruent,535.4,1
sub-002,42,congruent,525.8,0
sub-002,43,incongruent,507.3,1
sub-002,44,incongruent,566.9,0
sub-002,45,congruent,411.3,1
sub-002,46,congruent,570.7,1
sub-002,47,congruent,673.4,1
sub-002,48,incongruent,602.8,1
sub-002,49,congruent,365.2,0
sub-002,50,incongruent,659.2,1
sub-002,51,congruent,605.9,1
sub-002,52,congruent,600.8,1
sub-002,53,congruent,515.4,1
sub-002,54,incongruent,640.5,0
sub-002,55,incongruent,612.2,1
sub-002,56,congruent,551.5,0
sub-002,57,congruent,565.8,1
sub-002,58,incongruent,557.0,1
sub-002,59,incongruent,567.9,1
sub-002,60,congruent,482.4,0
sub-002,61,incongruent,591.1,1
sub-002,62,congruent,517.1,1
sub-002,63,incongruent,678.7,1
sub-002,64,congruent,419.7,1
sub-002,65,congruent,564.4,1
sub-002,66,incongruent,593.2,0
sub-002,67,incongruent,419.7,0
sub-002,68,incongruent,580.1,0
sub-002,69,congruent,486.9,1
sub-002,70,incongruent,641.7,1
sub-002,71,incongruent,644.3,1
sub-002,72,congruent,504.2,1
sub-002,73,incongruent,553.1,1
sub-002,74,congruent,566.6,1
sub-002,75,incongruent,562.0,0
sub-002,76,incongruent,528.8,1
sub-002,77,incongruent,564.3,1
sub-002,78,incongruent,571.0,0
sub-002,79,congruent,497.2,1
sub-002,80,congruent,475.5,1
sub-002,81,congruent,481.0,1
sub-002,82,congruent,552.9,1
sub-002,83,incongruent,657.8,1
sub-002,84,congruent,539.3,1
sub-002,85,congruent,484.5,1
sub-002,86,congruent,461.3,1
sub-002,87,incongruent,591.0,1
sub-002,88,incongruent,596.5,1
